50	0.7835	13	0.958	7
100	0.806	14	0.9535	3
150	0.8125	19	0.9565	4
200	0.83	26	0.966	5
250	0.8345	30	0.972	5
300	0.8475	33	0.973	7
350	0.8615	41	0.9515	7
400	0.851	44	0.5	99
450	0.8865	58	0.974	8
500	0.8985	67	0.5	99
550	0.909	72	0.958	8
